label,beta,gamma,n,inv_n,log_abs_S_over_n,delta_n,numerical_uncertainty,im_log_S_over_n,e_saddle
gamma_minus_one,0.5434,-1.0,68,0.014705882352941176,-0.47659005347916894,-0.003115360753572771,0.0,5.780839406976219e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,69,0.014492753623188406,-0.47654783360567615,-0.003073140880079983,0.0,5.768675117142595e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,70,0.014285714285714285,-0.47650673339157107,-0.0030320406659749,0.0,5.756872948912313e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,71,0.014084507042253521,-0.4764667093161597,-0.0029920165905635288,0.0,5.745417111172464e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,72,0.013888888888888888,-0.476427720058529,-0.002953027332932845,0.0,5.734292709269507e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,73,0.0136986301369863,-0.47638972636235505,-0.002915033636758879,0.0,5.723485682911481e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,74,0.013513513513513514,-0.476352690910372,-0.002877998184775854,0.0,5.712982749107527e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,75,0.013333333333333334,-0.47631657820772527,-0.002841885482129103,0.0,5.702771349679616e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,76,0.013157894736842105,-0.4762813544735017,-0.0028066617479055034,0.0,5.692839602929287e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,77,0.012987012987012988,-0.4762469875397902,-0.002772294814194054,0.0,5.68317625908461e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,78,0.01282051282051282,-0.47621344675768296,-0.0027387540320867876,0.0,5.673770659190349e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,79,0.012658227848101266,-0.4761807029096772,-0.002706010184081009,0.0,5.66461269713782e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,80,0.0125,-0.4761487281279849,-0.0026740354023887525,0.0,5.655692784560832e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,81,0.012345679012345678,-0.4761174958182993,-0.00264280309270315,0.0,5.64700181835073e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,82,0.012195121951219513,-0.47608698058860355,-0.0026122878630073787,0.0,5.638531150567374e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,83,0.012048192771084338,-0.47605715818264416,-0.002582465457047989,0.0,5.63027256054414e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,84,0.011904761904761904,-0.4760280054177216,-0.0025533126921254423,0.0,5.622218229004082e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,85,0.011764705882352941,-0.4759995001264793,-0.0025248074008831223,0.0,5.614360714021424e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,86,0.011627906976744186,-0.4759716211023985,-0.002496928376802321,0.0,5.60669292867793e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,87,0.011494252873563218,-0.4759443480487308,-0.002469655323134645,0.0,5.599208120277352e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,88,0.011363636363636364,-0.4759176615306208,-0.002442968805024648,0.0,5.591899850993619e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,89,0.011235955056179775,-0.4758915429301917,-0.002416850204595533,0.0,5.584761979839482e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,90,0.011111111111111112,-0.4758659744043845,-0.002391281678788326,0.0,5.577788645852439e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,91,0.01098901098901099,-0.4758409388453586,-0.0023662461197624385,0.0,5.570974252403723e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,92,0.010869565217391304,-0.4758164198432752,-0.002341727117679049,0.0,5.564313452544416e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,93,0.010752688172043012,-0.47579240165130005,-0.0023177089257038763,0.0,5.557801135310053e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,94,0.010638297872340425,-0.4757688691526744,-0.0022941764270782428,0.0,5.551432412911836e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,95,0.010526315789473684,-0.475745807829714,-0.0022711151041178157,0.0,5.545202608748577e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,96,0.010416666666666666,-0.47572320373460664,-0.0022485110090104676,0.0,5.539107246179058e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,97,0.010309278350515464,-0.4757010434618897,-0.002226350736293514,0.0,5.533142037999398e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,98,0.01020408163265306,-0.47567931412249576,-0.0022046213968995865,0.0,5.527302876574637e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,99,0.010101010101010102,-0.475658003319265,-0.00218331059366883,0.0,5.521585824577801e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,100,0.01,-0.4756370991238286,-0.0021624063982324526,0.0,5.515987106293482e-20,-0.47347469272559617
