saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,matches_lambda_abs,matches_lambda_local,is_bm24_seed_saddle,z_real,z_imag,krawczyk_contraction,proof
27,0.5433996420760803,0.7487887432117251,True,1e-06,4.923998698363377e-14,14.788304854167217,-0.21141995983606954,-4.7737775886709915e-15,-5.506310833761968e-57,0.0004555651301827446,False,False,False,"[5.339284901847092, -0.8577474132459018, -5.7792003328982275, 0.694302705302949, -0.8577474132459022, 2.083066205390899, 0.6943027053030068, -1.7882208189080793]","[2.2116042197189674, -2.2777853857392656, -3.671144402823377e-28, 2.7871961484697985, 2.277785385739267, 0.8628342735939126, -2.787196148469736, -6.461619586152177e-16]",2.3301999274220376e-05,{}
28,0.5433996420760803,0.7487887432117251,True,1e-06,2.550325109382575e-14,89.43826995077399,-0.15098288033074597,-0.11259112552736178,6.977581156020578e-52,0.04805368720690781,False,False,False,"[5.339284901847086, -0.8577474132459032, -5.7792003328982275, 1.6935845370810725, -0.8577474132459016, 1.0258136807224396, -1.3034076217240071, -2.042048490733916]","[2.2116042197189594, -2.2777853857392647, 2.3257356438264607e-15, 0.2006314697353057, 2.277785385739266, 1.8505141311187878, -2.469927526520742, 0.9556346717169517]",0.00011892110600777485,{}
29,0.5433996420760803,0.7487887432117251,True,1e-06,1.7925990457631573e-13,87.14828025368809,-3.4085527571131973,-0.1459261280074311,8.950130779319353e-51,0.042857344698749245,False,False,False,"[5.339284901847094, -0.8577474132459035, -5.779200332898233, -1.997905624292332, -0.8577474132459029, -0.4653009421557605, 1.9468547657470814, -0.726475564067823]","[2.211604219718966, -2.2777853857392696, 1.2648314125119022e-15, 0.707373151493901, 2.27778538573927, 1.5117317956888996, -2.109300065838567, -1.025225884301681]",0.00010716433440225329,{}
30,0.5433996420760803,0.7487887432117251,True,1e-06,5.428808955799922e-14,207.28610817849048,-4.23475480261623,4.539812967441552,2.0499612202437933e-46,0.012588096433805873,False,False,False,"[5.3392849018470665, -0.8577474132458851, -5.779200332898191, 0.111341775777122, -0.8577474132458854, -0.20551776572085806, 0.5748530298175241, -2.6575286098749618]","[2.211604219718931, -2.277785385739255, 8.528400148549728e-15, -0.07906896266546544, 2.277785385739248, 1.3808917494407857, -2.6009181843443256, 0.00813538978423201]",0.0005874451702966967,{}
31,0.5433996420760803,0.7487887432117251,True,1e-06,2.2053098593250083e-13,25.060757339713124,0.05839357321059513,1.5165973072116095,1.4618142379710235e-51,0.2093764535413411,False,False,False,"[5.339284901847097, -0.8577474132459021, -5.779200332898234, -0.9888547448250086, -0.8577474132459041, 2.63358565064008, -1.7187847198123958, -0.12935607719698144]","[2.2116042197189647, -2.277785385739267, 2.657268493402664e-15, 0.4767453451988559, 2.277785385739269, -0.9690121154216856, 1.2605844207313595, 0.5721974382374361]",0.0001166936818748333,{}
32,0.5433996420760803,0.7487887432117251,True,1e-06,2.0430818692032677e-14,87.27038164736302,-2.852751255439978,4.969889151127232,7.074760311606208e-51,0.08810904941841535,False,False,False,"[5.339284901847092, -0.857747413245902, -5.779200332898233, -0.026294618223549802, -0.8577474132459016, -0.012284575969982869, -0.4436192794782581, -1.6635643626241798]","[2.2116042197189616, -2.277785385739267, -1.4103410503140772e-15, 0.006317989255851099, 2.2777853857392674, 0.5225212145585778, -2.9615060280396786, 0.15874292507183574]",0.0002280856351616623,{}
33,0.5433996420760803,0.7487887432117251,True,1e-06,8.45719630750301e-14,32.242482360649895,1.053018469036411,0.10630922662886588,-8.133556190922343e-51,0.006724391583569744,False,False,False,"[5.339284901847086, -0.8577474132459019, -5.7792003328982275, 0.6729823205475033, -0.8577474132459048, 0.08971777116558301, -0.2294710878735647, -0.4099601325096854]","[2.2116042197189665, -2.277785385739267, -2.8729288608881313e-15, -4.007680674757392, 2.277785385739266, 0.10288285586064677, 0.5316792313282809, -0.27438270626006644]",5.390533008970423e-05,{}
34,0.5433996420760803,0.7487887432117251,True,1e-06,1.4817214673626175e-13,53.842221830046014,-4.414949830234107,-2.67880627078966,2.9211917621698677e-50,0.013534118704723319,False,False,False,"[5.339284901847084, -0.8577474132459029, -5.779200332898224, -0.6174507555557301, -0.857747413245902, -0.6174152079061263, -1.6238567984821974, 0.06658882522784705]","[2.211604219718962, -2.277785385739266, 2.7884743200502443e-15, 0.9608912583821476, 2.277785385739267, -1.510043741383064, -0.6091300054552641, 0.19703568236218214]",0.0001352564579845739,{}
35,0.5433996420760803,0.7487887432117251,True,1e-06,8.994780012736985e-13,57.67741260535558,-3.1571534235886345,-0.39296529692337157,-1.2370162361624683e-49,0.04943399321911368,False,False,False,"[5.3392849018470825, -0.857747413245902, -5.779200332898224, -2.014302401251762, -0.8577474132459022, -1.0490699053105963, -2.7048535237435956, -3.3992720775294995e-05]","[2.211604219718963, -2.277785385739267, -3.9298324172862147e-16, -1.1866330888475525, 2.277785385739262, -0.08152571277211115, -0.6453110447931464, 2.6985188601564535e-05]",9.146122892686092e-05,{}
36,0.5433996420760803,0.7487887432117251,True,1e-06,1.6029268998386448e-12,101.81494361287649,-0.5814172136838742,-1.088380844868623,1.233130496001338e-50,0.020116553498532364,False,False,False,"[5.339284901847096, -0.857747413245904, -5.779200332898233, 0.45098508903543094, -0.8577474132459059, 0.056244111443184405, -2.9752610428340294, 0.7545827757287608]","[2.2116042197189647, -2.2777853857392687, -5.812944990026418e-16, -3.715734797360411, 2.2777853857392723, -0.05139603027188417, -0.6001937447686754, 0.34598570735782896]",0.00014975511966534998,{}
