gamma,competitor_index,classification,re_phi_m,im_phi_m,im_mod_abs,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,signed_re_gap_vs_seed,z_distance_from_seed,physically_feasible,impossible_if_physical,strict_exact_match,loose_exact_match,near_real_phase,high_re_bad_match
-0.6,13,physical_feasible_but_not_explanatory,-0.039628033111502314,0.6030935837485352,0.6030935837485352,-0.7292374081115023,-0.49039039325750927,0.238847014853993,-0.2482085863057114,3.2577562569160814,True,False,False,False,False,False
-0.6,14,physical_feasible_but_not_explanatory,-1.2364834379673453,0.6668230905267382,0.666823090526738,-1.9260928129673451,-0.49039039325750927,1.4357024197098358,-1.4450639911615544,3.039009501164547,True,False,False,False,False,False
-0.6,15,physical_feasible_but_not_explanatory,-4.159191130582714,-1.010320850072102,1.0103208500721017,-4.848800505582714,-0.49039039325750927,4.358410112325205,-4.367771683776923,2.5540595949497793,True,False,False,False,False,False
-0.6,16,physical_feasible_but_not_explanatory,-0.1433463769322748,6.654143980606992,0.3709586734274062,-0.8329557519322748,-0.49039039325750927,0.3425653586747655,-0.3519269301264839,5.115557635931494,True,False,False,False,False,False
-0.6,17,physical_feasible_but_not_explanatory,0.05110362195712692,-0.4855339326035056,0.48553393260350575,-0.638505753042873,-0.49039039325750927,0.14811535978536378,-0.15747693123708217,2.963498828587865,True,False,False,False,False,False
-0.6,18,physical_feasible_but_not_explanatory,-1.2260381373641085,5.343264964955358,0.9399203422242284,-1.9156475123641084,-0.49039039325750927,1.425257119106599,-1.4346186905583176,4.459590863013406,True,False,False,False,False,False
-0.6,19,physical_feasible_but_not_explanatory,-0.6569101755944384,-0.9890190080504812,0.989019008050481,-1.3465195505944383,-0.49039039325750927,0.856129157336929,-0.8654907287886475,3.4836326453895032,True,False,False,False,False,False
-0.6,20,physical_feasible_but_not_explanatory,-1.5037089016305827,5.377839847807532,0.9053454593720538,-2.1933182766305825,-0.49039039325750927,1.7029278833730732,-1.7122894548247918,3.8038096751101156,True,False,False,False,False,False
-0.6,21,physical_feasible_but_not_explanatory,-0.40120880174934204,0.10492956991718864,0.10492956991718883,-1.090818176749342,-0.49039039325750927,0.6004277834918326,-0.6097893549435511,2.253021945331804,True,False,False,False,False,False
-0.6,22,physical_feasible_but_not_explanatory,-3.5145049051918194,4.137185566514612,2.1459997406649745,-4.20411428019182,-0.49039039325750927,3.7137238869343103,-3.7230854583860284,3.9608329790845804,True,False,False,False,False,False
-0.6,23,physical_feasible_but_not_explanatory,-4.64571940975426,-2.944381608412746,2.944381608412746,-5.335328784754259,-0.49039039325750927,4.8449383914967505,-4.854299962948469,2.961797113478564,True,False,False,False,False,False
-0.6,24,physical_feasible_but_not_explanatory,-4.4714850692722345,3.731765558078565,2.5514197491010213,-5.161094444272234,-0.49039039325750927,4.6707040510147255,-4.680065622466444,3.240676322448806,True,False,False,False,False,False
-0.6,25,physical_feasible_but_not_explanatory,-1.8558294841640257,1.5408562806046286,1.540856280604629,-2.5454388591640256,-0.49039039325750927,2.0550484659065162,-2.064410037358235,4.015094629719993,True,False,False,False,False,False
-0.6,26,physical_feasible_but_not_explanatory,-2.266099256856672,-2.0870052427223613,2.0870052427223613,-2.955708631856672,-0.49039039325750927,2.4653182385991625,-2.474679810050881,3.030502436255699,True,False,False,False,False,False
-0.6,27,physical_feasible_but_not_explanatory,-3.9203678266822526,0.09404813153203806,0.09404813153203806,-4.609977201682253,-0.49039039325750927,4.119586808424744,-4.128948379876462,4.042713706047227,True,False,False,False,False,False
-0.6,28,physical_feasible_but_not_explanatory,-1.0385633197571464,0.7592302748468562,0.759230274846856,-1.7281726947571463,-0.49039039325750927,1.237782301499637,-1.2471438729513555,3.1417440311793556,True,False,False,False,False,False
-0.6,29,physical_feasible_but_not_explanatory,-2.2803567294099474,-1.189672328268597,1.189672328268597,-2.9699661044099472,-0.49039039325750927,2.479575711152438,-2.4889372826041565,3.858870739622924,True,False,False,False,False,False
-0.6,30,physical_feasible_but_not_explanatory,-5.822538431645726,1.1531791279798809,1.1531791279798806,-6.512147806645726,-0.49039039325750927,6.021757413388217,-6.031118984839935,3.4034454316412903,True,False,False,False,False,False
-0.6,31,physical_feasible_but_not_explanatory,-1.2097663594583992,-1.1085778661514776,1.1085778661514776,-1.899375734458399,-0.49039039325750927,1.4089853412008897,-1.4183469126526083,3.277057598588072,True,False,False,False,False,False
-0.6,32,physical_feasible_but_not_explanatory,-0.0681305039261293,-1.9070492153056104,1.9070492153056104,-0.7577398789261293,-0.49039039325750927,0.26734948566862,-0.2767110571203384,4.207173172618784,True,False,False,False,False,False
-0.6,33,physical_feasible_but_not_explanatory,0.0021962909956624033,-0.8275649297296662,0.8275649297296663,-0.6874130840043375,-0.49039039325750927,0.19702269074682827,-0.2063842621985467,4.528852717143236,True,False,False,False,False,False
