gamma,re_phi_m,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,seed_full_interp,seed_abs_gap_to_exact,delta_re_vs_seed,re43_minus_re46,im43_plus_im46,mean_im_mod_abs,physically_feasible
-3.0549999999999997,-3.650883614739241e-05,-0.6896458838361474,-0.6906822386394952,0.0010363548033477388,-1.2819501568603608,0.5912679182208657,0.5923042730242136,-1.1387760628861834e-06,-4.035486288963894e-15,1.9984014443252818e-15,True
-3.075,-3.424725311144397e-05,-0.6896436222531115,-0.6906389732369667,0.00099535098385517,-1.2937385061061837,0.603099532869217,0.6040948838530724,-1.1217459662893683e-06,6.979188346109542e-17,0.0,True
-3.0949999999999998,-3.20275850690787e-05,-0.6896414025850691,-0.69059706950674,0.0009556669216709279,-1.305539664385852,0.6149425948791118,0.6158982618007831,-1.097067292123513e-06,-2.0157327406967484e-15,8.881784197001252e-16,True
-3.115,-2.986356337844327e-05,-0.6896392385633785,-0.69055652428253,0.000917285719151506,-1.3173519438510388,0.6267954195685088,0.6277127052876607,-1.0662783888532902e-06,-4.29750906301414e-16,6.661338147750939e-16,True
-3.145,-2.6744948268875735e-05,-0.689636119948269,-0.6904982341211929,0.0008621141729239223,-1.3350875460104936,0.6445893118893007,0.6454514260622248,1.0114991478640811e-06,1.1163687700019233e-15,4.440892098500626e-16,True
-3.165,-2.4762258048701986e-05,-0.6896341372580488,-0.690461038860945,0.0008269016028962239,-1.3469203047150395,0.6564592658540945,0.657286167456991,9.708611406989906e-07,-2.2717374553420676e-16,6.661338147750939e-16,True
-3.185,-2.2863160426811078e-05,-0.6896322381604268,-0.6904251542957273,0.0007929161353004144,-1.3587583489557737,0.6683331946600465,0.6691261107953471,-9.280113537082045e-07,-5.924267509885143e-16,2.220446049250313e-16,True
-3.205,-2.1051289302558918e-05,-0.6896304262893026,-0.6903905586622884,0.0007601323729857778,-1.3706000309325272,0.6802094722702389,0.6809696046432249,-8.837235308269652e-07,-2.5947498280127267e-15,1.3322676295501878e-15,True
-3.225,-1.932885248743534e-05,-0.6896287038524875,-0.6903572275161755,0.0007285236636879189,-1.3824437111402001,0.6920864836240247,0.6928150072877127,8.386519382342673e-07,1.7155637900878317e-15,8.881784197001252e-16,True
-3.245,-1.7696856030322353e-05,-0.6896270718560304,-0.6903251341624763,0.000698062306445868,-1.3942877581871689,0.7039626240246926,0.7046606863311387,7.933457823322554e-07,7.611577520677128e-15,4.218847493575595e-15,True
-3.2649999999999997,-1.615530115997273e-05,-0.68962553030116,-0.6902942500467077,0.000668719745547719,-1.4061305486293814,0.7158362985826736,0.7165050183282214,-7.482621971893755e-07,4.994477566353914e-15,2.4424906541753444e-15,True
-3.285,-1.4703356739952057e-05,-0.68962407835674,-0.6902645451083715,0.000640466751631541,-1.417970466819038,0.7277059217106665,0.7283463884622984,-7.037778133275364e-07,1.1338174888514394e-15,8.881784197001252e-16,True
-3.335,-1.1454284032477919e-05,-0.6896208292840326,-0.6901952344457964,0.0005744051617638801,-1.4475471622734304,0.7573519278276339,0.7579263329893982,-5.970519594987369e-07,-1.8433768148806313e-15,8.881784197001252e-16,True
-3.395,-8.22790378736068e-06,-0.6896176029037875,-0.6901208126576497,0.0005032097538621993,-1.4829671933175481,0.7928463806598984,0.7933495904137607,4.807351809614328e-07,-7.582157096744023e-16,2.220446049250313e-16,True
-3.415,-7.302107533997378e-06,-0.689616677107534,-0.6900979823522917,0.000481305244757646,-1.494749578559891,0.8046515962075993,0.8051329014523572,4.4527659519419047e-07,7.744145177042926e-16,4.440892098500626e-16,True
-3.495,-4.255854851637712e-06,-0.6896136308548517,-0.6900156638229877,0.0004020329681360124,-1.5417160868411637,0.851700423018176,0.8521024559863122,3.208541567161112e-07,1.5414791716038095e-15,1.5543122344752192e-15,True
-3.575,-2.0959920431753358e-06,-0.6896114709920432,-0.6899462261934202,0.00033475520137693504,-1.5883479086147816,0.8984016824213614,0.8987364376227386,2.2330648399816137e-07,8.390327805395754e-16,4.440892098500626e-16,True
-3.605,-1.472184422842966e-06,-0.6896108471844229,-0.6899231159054742,0.0003122687210512787,-1.6057286973210256,0.9158055814155515,0.9161178501366029,-1.930441026276944e-07,-1.7380444503345075e-15,2.220446049250313e-15,True
