beta,Gamma,gamma,gamma_AS,region,lambda_abs_100,seed_re_phi,comp_re_phi,phi_pref_conv2,seed_full_exponent,comp_full_exponent,seed_error_full_minus_lambda,comp_error_full_minus_lambda,seed_residual_inf,comp_residual_inf,comp_certified
0.5433996421,2.0,-2.0,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6815451570339839,-0.038817405681864425,0.007780734952608115,-0.689609375,-0.7284267806818644,-0.6818286400473919,-0.04688162364788051,-0.0002834830134079702,9.739636741317752e-15,5.329070518200751e-15,True
0.5433996421,2.05,-2.05,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6839797358845447,-0.05939974203924425,0.005770845726064122,-0.689609375,-0.7490091170392442,-0.6838385292739358,-0.06502938115469947,0.0001412066106089016,1.013652469562605e-14,3.837241711138119e-14,True
0.5433996421,2.1,-2.1,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6857178428956712,-0.08089268890724544,0.00425469405112211,-0.689609375,-0.7705020639072454,-0.6853546809488779,-0.08478422101157423,0.00036316194679331115,6.217248937900877e-15,4.440892098500626e-15,True
0.575,1.0,-1.0,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.47240987222538017,0.2194082030555291,0.1163039503920659,-0.689609375,-0.47020117194447086,-0.5733054246079341,0.0022087002809093037,-0.10089555238255393,3.614624287906422e-15,1.0658141036401503e-14,True
0.575,1.3,-1.3,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.5135441378942663,0.17797310910418512,0.09981482016907439,-0.689609375,-0.5116362658958149,-0.5897945548309256,0.001907871998451438,-0.07625041693665924,3.972054645195637e-15,1.4876988529977098e-14,True
0.575,1.5,-1.5,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.5596011751390448,0.13147997872677086,0.07882439306793199,-0.689609375,-0.5581293962732291,-0.610784981932068,0.0014717788658157316,-0.051183806793023146,9.769962616701378e-15,5.773159728050814e-15,True
0.575,1.6,-1.6,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.5871992587224956,0.10338070326719229,0.06523099798106458,-0.689609375,-0.5862286717328077,-0.6243783770189354,0.0009705869896878827,-0.03717911829643983,6.311693569372732e-15,8.881784197001252e-15,True
0.575,1.7,-1.7,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.6169587785657271,0.07247768380692454,0.04953507667654211,-0.689609375,-0.6171316911930754,-0.6400742983234579,-0.00017291262734830948,-0.02311551975773074,1.0897306989663157e-14,1.4210854715202004e-14,True
0.575,1.75,-1.75,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.6320951798545508,0.056115919986497786,0.04087661730149805,-0.689609375,-0.6334934550135022,-0.6487327576985019,-0.001398275158951412,-0.016637577843951146,1.7185969125519676e-14,7.549516567451064e-15,True
0.575,1.8,-1.8,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.6466311620840172,0.03926803518087052,0.031645695941068475,-0.689609375,-0.6503413398191294,-0.6579636790589315,-0.0037101777351122855,-0.01133251697491433,1.490776228346169e-13,5.329070518200751e-15,True
